Baked Acorn Squash with Butter and Brown Sugar,"Easy baked acorn squash recipe, perfect for the fall. Squash is cut in half, insides scooped out, then baked with a little butter, brown sugar, and maple syrup.","['Side Dish', 'Favorite Fall', 'Thanksgiving', 'Gluten-Free', 'Healthy', 'Vegetarian', 'Acorn Squash', 'Squash', 'Vegetables', 'Winter Squash']",10 minutes,"1 hour, 15 minutes","Serves 2 to 4, depending on how much squash you like to eat.","['1 Acorn squash', '1 Tbsp Butter', '2 Tbsp Brown Sugar', '2 teaspoons Maple Syrup', 'Dash of Salt']",['Preheat your oven to 400°F (205°C).'],https://www.simplyrecipes.com/wp-content/uploads/2014/10/baked-acorn-squash-horiz-a-1800.jpg,Elise Bauer
Vegan Stuffed Squash with Brown Rice and Mushrooms,Vegan stuffed squash with brown rice and mushrooms! Use acorn squash or other winter squash. Vegan or vegetarian main course.,"['Dinner', 'Favorite Fall', 'Gluten-Free', 'Healthy', 'Vegan', 'Vegetarian', 'Acorn Squash', 'Mushroom', 'Rice', 'Squash', 'Vegetables', 'Winter Squash']",20 minutes,1 hour,Serves 6,"['4 small winter squash (about 1 1/2 pounds each), like kabocha, acorn squash, or pie pumpkins', '1/2 tablespoon olive oil', '1/4 teaspoon salt', '1/4 teaspoon pepper', '4 tablespoons olive oil, divided', '2 cups brown rice', '4 cups low-sodium vegetable broth or water', '1 cup diced carrot', '1 cup diced shallots', '1 cup diced celery', '1 1/4 pounds mushrooms, diced (I used a mix of creminis and wild mushrooms),', '3 cloves garlic, minced', '1/2 cup white wine', 'Pinch cinnamon', '1 cup chopped mixed herbs (parsley, chives, and chervil work beautifully here)']","['Heat the oven to 400F and prepare the squash. Cut the squash in half and scrape out the seeds. Cut a small sliver from the bottom of each squash half to create a stable surface for the ""bowl."" Rub the squash halves inside and out with olive oil, then sprinkle generously with salt and pepper.']",https://www.simplyrecipes.com/wp-content/uploads/2016/12/2016-12-08-Stuffed-Squash-9.jpg,Sabrina Modelle
Roasted Winter Squash with Cilantro Chimichurri,"Roasted Winter Squash with Cilantro Chimichurri! Use a mix of squashes, like acorn squash and delicata squash. The cilantro chimichurri makes this simple dish into a showstopper.","['Side Dish', 'Favorite Fall', 'Favorite Winter', 'Hanukkah', 'Holiday', 'Quick and Easy', 'Gluten-Free', 'Low Carb', 'Paleo', 'Vegan', 'Vegetarian', 'Acorn Squash', 'Chimichurri', 'Delicata Squash', 'Vegetables', 'Winter Squash']",10 minutes,30 minutes,6 to 8 servings,"['3 pounds acorn or delicata squash', '1 tablespoon olive oil', '1/4 teaspoon salt', 'Ground black pepper', '1/2 cup olive oil', '1/2 cup finely chopped cilantro', '1/2 cup finely chopped parsley', '1 tablespoon finely chopped oregano leaves', '1 1/2 teaspoons urfa biber, or regular chili flakes', '1/4 teaspoon salt', '4 garlic cloves, minced', '1/4 cup red wine vinegar']","['Preheat the oven to 375F. Line a baking sheet with aluminum foil, a silicon baking mat, or parchment paper.']",https://www.simplyrecipes.com/wp-content/uploads/2017/10/winter-squash-chimichurri-vertical-a-1400-LEAD.jpg,Garrett McCord
Stuffed Squash with Turkey and Apples,"Looking for a delicious and filling dinner for two? Then try this stuffed squash recipe loaded with ground turkey, wild rice, apples, and herbs.","['Cooking for Two', 'Dinner', 'Favorite Fall', 'Favorite Winter', 'Healthy', 'Acorn Squash', 'Ground Turkey', 'Rice', 'Turkey', 'Vegetables']",10 minutes,45 minutes,2 servings,"['1 medium (about 1 1/4 to 1 1/2 pound) acorn squash, halved lengthwise and seeded', '2 tablespoons plus 1 teaspoon olive oil', '1 teaspoon salt, divided', '1/8 teaspoon ground black pepper', '1/2 cup uncooked wild rice', '6 ounces ground turkey or ground breakfast sausage', '1 small shallot, finely chopped', '1 stalk celery, finely chopped', '1/2 large apple (Honeycrisp, Jonagold, or Braeburn), unpeeled, cored, and cut into small dice', '1 tablespoon chopped fresh sage leaves', '1 tablespoon chopped fresh rosemary', '2 tablespoons dried cranberries', '1 tablespoon fine, dry breadcrumbs']",['Preheat the oven: Preheat the oven to 425ºF. Line a baking sheet with parchment.'],https://www.simplyrecipes.com/wp-content/uploads/2020/01/SR-Stuffed-Acorn-Squash-LEAD-3.jpg,Sally Vargas
Red Chile Marinated Grilled Chicken,"Chicken pieces marinated in a spicy, flavorful red chili sauce, then grilled or baked.  Pollo adobado recipe.","['Dinner', 'Favorite Summer', 'Fourth of July', 'Game Day', 'Grill', 'Mexican', 'Gluten-Free', 'Low Carb', 'Paleo', 'Adobado', 'Chicken', 'Chicken Thigh', 'Chili', 'Chili Sauce', 'Grilled Chicken']",10 minutes,1 hour,Serves 4-6,"['3 pounds bone-in, skin-on chicken parts, preferably thighs, trimmed of excess skin and fat', 'Salt', '1 1/4 cup Mexican red chili sauce, either homemade* or canned (if you are gluten intolerant and are using canned chili sauce, make sure to read the ingredients on the can, some makers put wheat products in their sauce)', '1 tablespoon extra virgin olive oil', '2 tablespoons white or cider vinegar', '1/2 teaspoon ground cloves', '1/2 teaspoon ground allspice', '1 teaspoon cinnamon', '1/4 teaspoon ground cumin', 'A couple of turns on a black pepper grinder', 'A pinch of dried oregano, crushed', '1 teaspoon minced garlic', 'Avocado slices', 'Thinly sliced lettuce or cabbage', 'Thinly sliced radishes', 'Cilantro']","[""Simmer chili sauce and spices to make the marinade: Heat oil in a medium sized saucepan on medium heat. Add the chili sauce. Add vinegar (2 Tbsp if using canned sauce, 4 Tbsp in you've made your own sauce), cloves, allspice, cinnamon, cumin, black pepper, oregano and garlic.""]",https://www.simplyrecipes.com/wp-content/uploads/2008/06/red-chile-marinated-grilled-chicken-square.jpg,Elise Bauer
Mexican Red Chili Sauce,"Here is a Mexican red chili sauce, made with dried Ancho chilies.  Perfect for making tamales and enchiladas!","['Salsa', 'Sauce', 'Mexican', 'TexMex', 'Adobo', 'Chiles', 'Chili', 'Chili Sauce']",5 minutes,25 minutes,Makes a little more than 1 cup,"['3 dried Ancho (sometimes called pasilla in the US*) chiles OR 2 Ancho and 2 Guajillo chiles', 'Water', '1 large clove garlic', '2 black peppercorns, crushed', 'A pinch of ground cloves', '1/2 teaspoon of salt, more to taste', 'Extra virgin olive oil']","['Cut the chiles open and remove stem and seeds: Working on one chile at a time, use a paring knife to cut a slit all the way down one side of a chile. Open up the chile and remove the stem and seeds. Remove as much of the veins as you can.']",https://www.simplyrecipes.com/wp-content/uploads/2019/01/mexican-red-chili-sauce-vertical-a-1600.jpg,Elise Bauer
African Chicken Peanut Stew,"A hearty West African-inspired stew of chicken thighs and legs, sweet potatoes and peanuts that is perfect for a chilly day.","['Video', 'Stew', '1-Pot', 'Budget', 'African', 'Gluten-Free', 'Chicken', 'Chicken Leg', 'Chicken Thigh', 'Peanut', 'Peanut Butter', 'Sweet Potatoes']",20 minutes,"1 hour, 55 minutes",Serves 6-8,"['2-3 pounds chicken legs, thighs and/or wings', '3 Tbsp vegetable oil', '1 large yellow or white onion, sliced', 'A 3-inch piece of ginger, peeled and minced', '6-8 garlic cloves, chopped roughly', '2-3 pounds sweet potatoes, peeled and cut into chunks', '1 15-ounce can of crushed tomatoes', '1 quart chicken stock', '1 cup peanut butter', '1 cup roasted peanuts', '1 Tbsp ground coriander', '1 teaspoon cayenne, or to taste', 'Salt and black pepper', '1/4 to 1/2 cup of chopped cilantro']","[""Brown the chicken.\xa0Heat the vegetable oil in a large soup pot set over medium-high heat. Salt the chicken pieces well, pat them dry and brown them in the oil. Don't crowd the pot, so do this in batches. Set the chicken pieces aside as they brown.""]",https://www.simplyrecipes.com/wp-content/uploads/2010/12/african-chicken-peanut-stew-vertical-a-1600.jpg,Hank Shaw
Pressure Cooker Moroccan Chicken,"Ras el hanout—a Moroccan spice blend—brings deep flavors to this pressure cooker Instant Pot dish. It's made with chicken thighs, olives, lemon, garlic, onions and raisins. ","['Dinner', 'Instant Pot', 'Pressure Cooker', 'African', 'Moroccan', 'Healthy', 'Chicken']",10 minutes,30 minutes,6 to 8 servings ,"['1 teaspoon paprika', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1/2 teaspoon ground turmeric', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground allspice', '1/2 teaspoon kosher salt', '1 tablespoon olive oil', '1 red onion, sliced', '3 cloves garlic, chopped', '1 cup low sodium chicken broth', '1 cup pitted green olives (with or without pimentos)', '1/2 cup raisins', '1/2 lemon, sliced thinly, seeds removed', '3 pounds boneless, skinless chicken thighs', '1/4 cup chopped cilantro and/or parsley']","['Make the spice blend: In a small bowl, stir together the spices and salt.']",https://www.simplyrecipes.com/wp-content/uploads/2018/03/Pressure-Cooker-Moroccan-Chicken-6-LEAD-VERTICAL.jpg,Coco Morante
"Chicken Drumsticks, Ethiopian Style",Slow-cooked chicken drumsticks coated in Ethiopian style berbere spice.,"['Dinner', 'African', 'Ethiopian', 'Gluten-Free', 'Low Carb', 'Chicken', 'Chicken Drumstick', 'Chicken Leg']",10 minutes,2 hours,Serves 6-8,"['3-4 pounds chicken legs, thighs or wings', '2 Tbsp peanut oil, or melted butter (or ghee)', 'Salt', 'Lemons or limes for serving', '2 Tbsp sweet paprika', '1 Tbsp hot paprika, or 1-2 teaspoons cayenne', '2 teaspoons garlic powder', '1 teaspoon ground ginger', '1 teaspoon ground cumin', '1 teaspoon onion powder', '1 teaspoon black pepper', '1 teaspoon ground fenugreek', '1/2 teaspoon salt', '1/2 teaspoon ground cardamom', '1/4 teaspoon ground cloves']",['Preheat oven to 325°. '],https://www.simplyrecipes.com/wp-content/uploads/2012/07/ethiopian-chicken-drumsticks-horiz-b-1800.jpg,Hank Shaw
Grilled Moroccan Chicken,"Skinless boneless chicken breasts marinated in yogurt with garlic, cumin, and paprika, then grilled.","['Dinner', 'Grill', 'African', 'Moroccan', 'Gluten-Free', 'Healthy', 'Low Carb', 'Chicken', 'Chicken Breast', 'Grilled Chicken']",5 minutes,15 minutes,Serves 4,"['1/2 cup plain yogurt', '1 Tbsp lemon juice', '1/2 cup chopped fresh cilantro', '1 tablespoon extra virgin olive oil', '2 cloves garlic, minced', '1 1/2 teaspoons\xa0ground cumin', '1 teaspoon paprika', '1/2 teaspoon ground\xa0cinnamon', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1 1/2 pounds skinless, boneless chicken breasts']","['Marinate the chicken: Mix the marinade ingredients (yogurt, lemon juice, cilantro, olive oil, garlic, cumin, paprika, cinnamon, salt, and pepper) together in a medium sized bowl.']",https://www.simplyrecipes.com/wp-content/uploads/2008/05/moroccan-spiced-grilled-chicken-vertical-b-600.jpg,Elise Bauer
